archive_path,exists_locally,size_bytes,sha256,upload_status
simulation/tasks/work-2/M10O90/output.dcd,True,2892720276,,not_started
simulation/tasks/work-2/M10O90/system.xml,True,22861463,,not_started
simulation/tasks/work-2/M10O90/molecule_map.tsv,True,3658,,not_started
simulation/tasks/work-2/M10O90/run_metadata.json,True,1474,,not_started
simulation/tasks/work-2/M10O90/DONE,True,38,,not_started
simulation/tasks/work-2/M15O85/start.pdb,True,4399519,,not_started
simulation/tasks/work-2/M15O85/output.dcd,True,3259020276,,not_started
simulation/tasks/work-2/M15O85/system.xml,True,25495623,,not_started
simulation/tasks/work-2/M15O85/molecule_map.tsv,True,3688,,not_started
simulation/tasks/work-2/M15O85/run_metadata.json,True,1448,,not_started
simulation/tasks/work-2/M15O85/DONE,True,38,,not_started
simulation/tasks/work-2/M20O80/start.pdb,True,4894024,,not_started
simulation/tasks/work-2/M20O80/output.dcd,True,3625320276,,not_started
simulation/tasks/work-2/M20O80/system.xml,True,28129783,,not_started
simulation/tasks/work-2/M20O80/molecule_map.tsv,True,3718,,not_started
simulation/tasks/work-2/M20O80/run_metadata.json,True,1461,,not_started
simulation/tasks/work-2/M20O80/DONE,True,38,,not_started
simulation/tasks/work-2/M30O70/start.pdb,True,5883034,,not_started
simulation/tasks/work-2/M30O70/output.dcd,True,4357920276,,not_started
simulation/tasks/work-2/M30O70/system.xml,True,33398103,,not_started
simulation/tasks/work-2/M30O70/molecule_map.tsv,True,3778,,not_started
simulation/tasks/work-2/M30O70/run_metadata.json,True,1448,,not_started
simulation/tasks/work-2/M30O70/DONE,True,38,,not_started
simulation/tasks/work-2/M0O100D1/start.pdb,True,2948404,,not_started
simulation/tasks/work-2/M0O100D1/output.dcd,True,2184120276,,not_started
simulation/tasks/work-2/M0O100D1/system.xml,True,18039380,,not_started
simulation/tasks/work-2/M0O100D1/molecule_map.tsv,True,3594,,not_started
simulation/tasks/work-2/M0O100D1/run_metadata.json,True,1061,,not_started
simulation/tasks/work-2/M0O100D1/DONE,True,40,,not_started
simulation/tasks/work-2/M10O90D1/start.pdb,True,3937414,,not_started
simulation/tasks/work-2/M10O90D1/output.dcd,True,2916720276,,not_started
simulation/tasks/work-2/M10O90D1/system.xml,True,23314921,,not_started
simulation/tasks/work-2/M10O90D1/molecule_map.tsv,True,3691,,not_started
simulation/tasks/work-2/M10O90D1/run_metadata.json,True,1474,,not_started
simulation/tasks/work-2/M10O90D1/DONE,True,40,,not_started
simulation/tasks/work-2/M20O80D1/start.pdb,True,4926424,,not_started
simulation/tasks/work-2/M20O80D1/output.dcd,True,3649320276,,not_started
simulation/tasks/work-2/M20O80D1/system.xml,True,28583241,,not_started
simulation/tasks/work-2/M20O80D1/molecule_map.tsv,True,3751,,not_started
simulation/tasks/work-2/M20O80D1/run_metadata.json,True,1461,,not_started
simulation/tasks/work-2/M20O80D1/DONE,True,40,,not_started
simulation/tasks/work-2/M50O0/start.pdb,True,6403054,,not_started
simulation/tasks/work-2/M50O0/output.dcd,True,4743120276,,not_started
simulation/tasks/work-2/M50O0/system.xml,True,35061472,,not_started
simulation/tasks/work-2/M50O0/molecule_map.tsv,True,2148,,not_started
simulation/tasks/work-2/M50O0/run_metadata.json,True,1446,,not_started
simulation/tasks/work-2/M50O0/DONE,True,37,,not_started
simulation/tasks/work-2/M50O0D1/start.pdb,True,6435454,,not_started
