system,replicate,cutoff_nm,largest_cluster_size,largest_cluster_fraction,largest_cluster_residue_fraction,second_cluster_size,second_cluster_fraction,finite_cluster_mean_size,N_clusters_size_ge_2,monomer_fraction
M10O90D1-S4,work,1.2,53.65,0.41269230769230764,0.41367869736569174,7.575,0.058269230769230726,2.9372136756703777,15.55,0.2313461538461538
M10O90D1-S4,work,1.4,54.675,0.42057692307692307,0.4216485169052063,7.95,0.061153846153846114,3.1015382895619807,15.475,0.21903846153846152
M10O90D1-S4,work-1,1.0,51.375,0.3951923076923077,0.39528002489110137,7.075,0.05442307692307687,2.633732511802122,16.275,0.2548076923076923
M10O90D1-S4,work-1,1.2,51.875,0.39903846153846156,0.3991734080066376,7.65,0.058846153846153805,2.8221523262536485,16.225,0.2419230769230769
M10O90D1-S4,work-1,1.4,52.8,0.40615384615384614,0.4062730761252852,8.075,0.06211538461538457,2.997613094437123,16.2,0.2273076923076923
M10O90D1-S4,work-2,1.0,50.95,0.39192307692307693,0.3895664799834059,7.5,0.057692307692307654,2.9105626951129473,16.425,0.23807692307692302
M10O90D1-S4,work-2,1.2,51.7,0.3976923076923077,0.39541640738436007,7.6,0.05846153846153842,3.0309536195084488,16.525,0.22346153846153843
M10O90D1-S4,work-2,1.4,52.675,0.40519230769230763,0.4029330014519809,7.575,0.058269230769230726,3.137172370830246,16.25,0.21307692307692308
M15O85,work,1.0,13.925,0.13925,0.17996685998342996,8.5,0.08499999999999999,3.169647864039713,17.325,0.3255
M15O85,work,1.2,14.975,0.14975,0.19198425849212922,8.975,0.08975,3.4727820271394663,16.725,0.30625
M15O85,work,1.4,16.725,0.16725,0.20976525821596242,10.1,0.101,3.832064896059343,16.125,0.29100000000000004
M15O85,work-1,1.0,14.225,0.14225000000000002,0.19150925158795912,8.6,0.086,3.245159662418461,17.825,0.3095
M15O85,work-1,1.2,16.225,0.16225,0.2143192488262911,8.85,0.0885,3.3957787574864127,17.325,0.29075
M15O85,work-1,1.4,18.1,0.181,0.23517674675504002,9.525,0.09525,3.6666694730469276,16.625,0.27475
M15O85,work-2,1.0,17.275,0.17275000000000001,0.22352665009665834,8.875,0.08875000000000001,3.3146406582625643,16.55,0.30975
M15O85,work-2,1.2,19.075,0.19075,0.24501104667218998,9.325,0.09325,3.5583839591380446,15.9,0.29275
M15O85,work-2,1.4,21.075,0.21075,0.2706310411488539,9.425,0.09425,3.696224383495695,15.3,0.27549999999999997
M20O80,work,1.0,18.1,0.181,0.23061196623634556,9.8,0.098,3.5847574052487543,15.375,0.3175
M20O80,work,1.2,20.8,0.20800000000000002,0.2603401191658391,10.1,0.101,3.8323430861348045,14.775,0.296
M20O80,work,1.4,23.525,0.23525000000000001,0.2937537239324727,10.65,0.1065,4.065534937206754,14.175,0.278
M20O80,work-1,1.0,18.575,0.18575,0.2339473684210526,9.975,0.09975,3.7134357348333724,15.725,0.29375
M20O80,work-1,1.2,19.925,0.19924999999999998,0.25209533267130085,10.675,0.10675000000000001,4.064138331950754,15.2,0.27775
M20O80,work-1,1.4,21.6,0.21600000000000003,0.27319016881827207,11.525,0.11525,4.47988888867002,14.75,0.2595
M20O80,work-2,1.0,16.575,0.16575,0.20990566037735844,9.8,0.098,3.5936209640602854,15.575,0.321
M20O80,work-2,1.2,18.65,0.1865,0.23287859980139025,9.975,0.09975,3.816359347383023,14.95,0.3035
M20O80,work-2,1.4,20.35,0.20350000000000001,0.2526067527308838,10.2,0.10200000000000001,3.990631970039651,14.475,0.29025
M20O80D1,work,1.0,50.625,0.50625,0.4976613704071499,6.725,0.06725,2.648348893078328,9.7,0.23025
M20O80D1,work,1.2,52.475,0.52475,0.5218197616683218,6.725,0.06725,2.6769988633770687,9.35,0.22025
M20O80D1,work,1.4,53.475,0.5347500000000001,0.5363666832174776,6.775,0.06775,2.75155388205292,9.325,0.20825
M20O80D1,work-1,1.0,49.875,0.49874999999999997,0.5325993048659384,6.225,0.06225000000000001,2.4925375636629634,9.625,0.248
M20O80D1,work-1,1.2,51.525,0.51525,0.5495034756703079,6.225,0.06225000000000001,2.560225550602847,9.25,0.23650000000000002
M20O80D1,work-1,1.4,53.075,0.53075,0.5653066037735849,6.3,0.063,2.641798317531474,9.225,0.221
M20O80D1,work-2,1.0,47.975,0.47975,0.5106690665342601,6.675,0.06675,2.5788691568878166,9.85,0.2485
M20O80D1,work-2,1.2,48.7,0.487,0.517009682224429,7.075,0.07075000000000001,2.765751656760516,9.625,0.2375
M20O80D1,work-2,1.4,49.7,0.497,0.527009682224429,7.2,0.072,2.89802511643576,9.5,0.22525
M25O75,work,1.0,21.75,0.21749999999999997,0.2764622322435174,10.35,0.1035,3.871906806268055,14.45,0.29375
M25O75,work,1.2,24.4,0.244,0.3064036076662908,11.0,0.11000000000000001,4.168431183889586,13.75,0.27749999999999997
M25O75,work,1.4,28.5,0.28500000000000003,0.3515332581736189,10.9,0.10900000000000001,4.121449248308112,13.025,0.2655
M25O75,work-1,1.0,18.025,0.18025,0.22143179255918827,9.425,0.09425,3.6486627319578693,15.425,0.2975
M25O75,work-1,1.2,19.825,0.19824999999999998,0.24631454340473505,9.85,0.0985,3.934515707913282,14.675,0.28125
M25O75,work-1,1.4,22.275,0.22275,0.2715028184892897,10.85,0.1085,4.362545480669611,14.025,0.262
M25O75,work-2,1.0,19.025,0.19025,0.23510259301014652,8.85,0.0885,3.5234804202512655,15.775,0.29
