system,cutoff_nm,largest_cluster_size_mean,largest_cluster_fraction_mean,largest_cluster_residue_fraction_mean,second_cluster_size_mean,second_cluster_fraction_mean,finite_cluster_mean_size_mean,N_clusters_size_ge_2_mean,monomer_fraction_mean,largest_cluster_size_sd,largest_cluster_fraction_sd,largest_cluster_residue_fraction_sd,second_cluster_size_sd,second_cluster_fraction_sd,finite_cluster_mean_size_sd,N_clusters_size_ge_2_sd,monomer_fraction_sd,largest_cluster_size_n,largest_cluster_fraction_n,largest_cluster_residue_fraction_n,second_cluster_size_n,second_cluster_fraction_n,finite_cluster_mean_size_n,N_clusters_size_ge_2_n,monomer_fraction_n
M50O0,1.0,48.775,0.9754999999999999,0.9754999999999999,0.7999999999999999,0.016,1.2495438596491228,1.1500000000000001,0.017666666666666667,0.18874586088177142,0.0037749172176354735,0.0037749172176354735,0.06614378277661472,0.001322875655532294,0.16060570177774222,0.025000000000000078,0.005251983752196241,3,3,3,3,3,3,3,3
M50O0,1.2,49.1,0.9820000000000001,0.9820000000000001,0.65,0.013,1.2684368191721134,1.1416666666666666,0.011833333333333335,0.15612494995996531,0.003122498999199204,0.003122498999199204,0.06614378277661481,0.0013228756555322943,0.11606554131223915,0.02886751345948133,0.004041451884327381,3,3,3,3,3,3,3,3
M50O0,1.4,49.416666666666664,0.9883333333333333,0.9883333333333333,0.4583333333333333,0.009166666666666665,1.163105413105413,1.075,0.008666666666666666,0.11273124382057305,0.00225462487641142,0.00225462487641142,0.07637626158259733,0.0015275252316519455,0.051474591068816654,0.024999999999999994,0.00202072594216369,3,3,3,3,3,3,3,3
M50O0D1,1.0,48.80833333333334,0.9761666666666667,0.9761666666666667,0.7916666666666666,0.015833333333333335,1.1940843621399175,1.1333333333333333,0.017666666666666667,0.11273124382056877,0.002254624876411436,0.002254624876411436,0.014433756729740673,0.00028867513459481366,0.05743692269707013,0.028867513459481187,0.0027537852736430504,3,3,3,3,3,3,3,3
M50O0D1,1.2,49.13333333333333,0.9826666666666667,0.9826666666666667,0.625,0.012500000000000002,1.1066129898013957,1.0583333333333333,0.014666666666666666,0.18929694486001258,0.0037859388972000586,0.0037859388972000586,0.10897247358851683,0.0021794494717703385,0.06150036811335484,0.014433756729740593,0.003214550253664319,3,3,3,3,3,3,3,3
M50O0D1,1.4,49.300000000000004,0.9860000000000001,0.9860000000000001,0.5,0.01,1.0962962962962963,1.05,0.011833333333333335,0.1089724735885141,0.0021794494717703194,0.0021794494717703194,0.06614378277661478,0.0013228756555322947,0.025660011963983438,0.0,0.0020207259421636914,3,3,3,3,3,3,3,3
M50O50,1.0,27.09166666666667,0.2709166666666667,0.31322076249355996,11.158333333333333,0.11158333333333333,4.4182905734302445,13.0,0.2583333333333333,1.5776432845650903,0.015776432845650935,0.01798277922255398,0.7320063751999246,0.007320063751999246,0.28826368803447266,0.24109126902482478,0.0026020824993326615,3,3,3,3,3,3,3,3
M50O50,1.2,31.991666666666664,0.3199166666666667,0.36851133436373,11.216666666666667,0.11216666666666668,4.495390155964587,12.125,0.2394166666666667,1.8125143677591466,0.01812514367759142,0.018822896224807,1.322009203195399,0.013220092031953994,0.5488304755860143,0.32691742076554997,0.00262599187609811,3,3,3,3,3,3,3,3
M50O50,1.4,37.35,0.3735,0.4271795466254507,11.275,0.11275,4.570417164135158,10.924999999999999,0.22275,1.9272713872208036,0.01927271387220803,0.022626322174808575,0.8663861725581725,0.008663861725581722,0.43036583695538083,0.222204860432889,0.00444409720865778,3,3,3,3,3,3,3,3
M5O95,1.0,10.641666666666666,0.10641666666666667,0.13496853105331905,7.091666666666666,0.07091666666666667,2.722259331239474,19.791666666666668,0.33583333333333326,1.186995506871587,0.011869955068715857,0.012078094103280996,0.14648663192705802,0.0014648663192705735,0.05690499955533686,0.20207259421636728,0.00883647742787437,3,3,3,3,3,3,3,3
