system,replicate,direct_largest_protein_fraction,augmented_largest_protein_fraction,DNA_component_protein_fraction,DNA_component_MED1,DNA_component_OCT4,n_PP_edges,PP_edge_density,OO_contact_probability,MM_contact_probability,OM_contact_probability,OD_contact_probability,MD_contact_probability,OCT4_mean_degree,MED1_mean_degree,DNA_mean_degree,OCT4_fraction_contacting_DNA,MED1_fraction_contacting_DNA,DNA_Rg_nm,DNA_Ree_nm,DNA_asphericity,DNA_fraction_beads_contacting_OCT4,DNA_fraction_beads_contacting_MED1,DNA_fraction_beads_contacting_any_protein,N_OCT4_molecules_contacting_DNA,N_MED1_molecules_contacting_DNA
M20O80,work-1,0.19924999999999998,0.19924999999999998,,,,70.25,0.014191919191919148,0.00796677215189868,0.04644736842105258,0.02265625,,,1.0825,2.695,,0.0,0.0,,,,,,,,
M20O80,work-2,0.1865,0.1865,,,,66.975,0.013530303030302995,0.00756329113924045,0.04210526315789469,0.021921875,,,1.0359375,2.55375,,0.0,0.0,,,,,,,,
M20O80D1,work,0.52475,0.52475,0.52475,10.35,42.125,152.625,0.030833333333333286,0.02844936708860754,0.04460526315789468,0.03390625,0.3725,0.24625,3.298125,3.80625,34.725,0.3725,0.24625,17.379564043864214,55.0495183630519,0.831730129045428,0.9266875000000001,0.34362499999999996,0.999125,29.8,4.925
M20O80D1,work-1,0.51525,0.521,0.521,12.125,39.975,145.575,0.029409090909090864,0.02283227848101262,0.0603947368421052,0.03871875,0.318125,0.36375,2.8962499999999998,4.60875,32.725,0.318125,0.36375,17.369396876231658,55.13358266290642,0.8523781733332505,0.8299375,0.4886875,0.9984375,25.45,7.275
M20O80D1,work-2,0.487,0.487,0.487,11.225,37.475,140.475,0.028378787878787826,0.020775316455696153,0.058026315789473634,0.039875,0.3090625,0.33625,2.7478124999999998,4.62875,31.45,0.3090625,0.33625,17.46817435243932,55.84384115280244,0.8529358132849719,0.8251875,0.50475,0.9986875,24.725,6.725
M25O75,work,0.244,0.244,,,,72.4,0.01462626262626258,0.007225225225225175,0.04333333333333329,0.020986666666666633,,,1.0593333333333335,2.614,,0.0,0.0,,,,,,,,
M25O75,work-1,0.19824999999999998,0.19824999999999998,,,,71.425,0.014429292929292884,0.0073513513513513064,0.03691666666666663,0.021306666666666627,,,1.0766666666666667,2.484,,0.0,0.0,,,,,,,,
M25O75,work-2,0.20875,0.20875,,,,71.55,0.01445454545454541,0.007396396396396346,0.040083333333333304,0.020799999999999957,,,1.0673333333333335,2.522,,0.0,0.0,,,,,,,,
M30O70,work,0.23450000000000001,0.23450000000000001,,,,73.225,0.014792929292929243,0.006314699792960612,0.038275862068965466,0.019678571428571382,,,1.0260714285714285,2.4875,,0.0,0.0,,,,,,,,
M30O70,work-1,0.2615,0.2615,,,,70.975,0.014338383838383794,0.0062215320910972705,0.03793103448275857,0.018785714285714235,,,0.9928571428571429,2.415,,0.0,0.0,,,,,,,,
